_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
62f509134d8250424f70734e||62.8|96.32|62.8|72.42|157,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1660225811000
62f508f04d8250424f70722f||60|94.01|63.2|63.29|150,1,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1660225776000
62f508ce4d8250424f707148||61.6|95.68|61.6|69.91|154,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1660225742000
62f508a24d8250424f707007||58.8|94.23|58.8|70.46|147,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1660225698000
62f5087e4d8250424f706ef8||50.8|91.43|50.8|64.44|127,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1660225662000
62f508594d8250424f706dcc||65.2|96|66.4|72.69|163,1,0,0|time|30|-1|1|30|0|0.71|false|false|english|none|normal|false|false|false||1660225625000
62f3fdc44d8250424f3d246a||58.78|92.12|63.58|59.98|147,5,0,1|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1660157380000
62f3fda24d8250424f3d2382||61.18|93.71|68.78|72.33|153,5,0,1|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1660157346000
62f3fd814d8250424f3d228f||50.8|91.78|56|56.06|127,4,0,1|time|30|-1|0|30|1|0|false|false|english|none|normal|false|false|false||1660157313000
62f3fd5e4d8250424f3d219e||50.4|87.25|52.8|57.65|126,1,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1660157278000
62f3fd3b4d8250424f3d20a9||58.4|93.04|58.4|66.78|146,0,0,0|time|30|-1|1|30|0|0.05|false|false|english|none|normal|false|false|false||1660157243000
62f3fcf24d8250424f3d1e9f||44.47|88.27|46.76|48.02|136,1,0,0|quote|2113|1|0|36.7|1|0|false|false|english|none|normal|false|false|false||1660157170000
62f3fcc04d8250424f3d1d28||56|96.58|56|66.99|140,0,0,0|time|30|-1|4|30|0|46.78|false|false|english|none|normal|false|false|false||1660157120000
62f3fc554d8250424f39245a||46.8|88.65|48.4|59.97|117,0,0,1|time|30|-1|2|30|0|4.22|false|false|english|none|normal|false|false|false||1660157013000
62f3fc2b4d8250424f392316||55.6|90.24|59.2|64.43|139,3,1,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1660156971000
62f3fc084d8250424f39221c||61.2|93.53|63.2|61.27|153,2,0,0|time|30|-1|1|30|0|6.71|false|false|english|none|normal|false|false|false||1660156936000
62f3fbd34d8250424f392089||60|93.25|60|72.83|150,0,0,0|time|30|-1|2|30|0|10.13|false|false|english|none|normal|false|false|false||1660156882000
62f3fb9e4d8250424f391f1b||54|90.73|54|56.07|135,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1660156830000
62f3fb734d8250424f391de3|true|53.6|90.54|57.6|61.94|67,5,0,0|time|15|-1|8|15|0|55.5|false|false|english|none|normal|false|false|false||1660156787000
62f3faff4d8250424f391a96||48.8|90.71|48.8|51.43|122,0,0,0|time|30|-1|2|30|0|3.71|false|false|english|none|normal|false|false|false||1660156671000
62f3facc4d8250424f391911||63.2|96.39|63.2|67.1|158,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1660156620000
62f35b4a4d8250424f82b020||60|97.44|61.6|66.92|150,1,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1660115786000
62f35b284d8250424f82af3a||57.2|93.46|57.6|62.01|143,1,0,0|time|30|-1|1|30|0|22.07|false|false|english|none|normal|false|false|false||1660115752000
62ee6e5b214dc216c812bfbc||49.2|90.97|52.4|59.99|123,1,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1659792987000
62ee6e32214dc216c812bec3||56|93.38|56|66.18|140,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1659792946000
62ee6e0b214dc216c812bdd0||44|87.69|44.4|55.72|110,1,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1659792907000
62ed5dc9214dc216c8dac13c||52|92.86|52|57.06|130,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1659723209000
62ed5d9b214dc216c8dac010||54.78|96.03|57.98|60.13|137,0,0,1|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1659723163000
62e7e4df303adee462025930||65.6|98.8|65.6|68.79|164,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1659364575000
62e7e4be303adee46202583b||59.6|93.79|59.6|64.17|149,0,0,0|time|30|-1|1|30|0|2.64|false|false|english|none|normal|false|false|false||1659364542000
62e7e493303adee462025714||62.8|96.99|63.6|67.77|157,1,0,0|time|30|-1|2|30|0|8.31|false|false|english|none|normal|false|false|false||1659364499000
62e7e466303adee4620255a9||54|87.27|58.4|61.66|135,3,0,0|time|30|-1|4|30|0|15.37|false|false|english|none|normal|false|false|false||1659364454000
62e7e414303adee46202535d||61.98|93.37|61.98|65.49|155,0,0,0|time|30|-1|3|30.01|0|14.6|false|false|english|none|normal|false|false|false||1659364372000
62dab859303adee4623e9e70|true|57.89|94.14|57.89|61.18|271,0,0,0|words|50|-1|0|56.18|0|0|false|false|english|none|normal|false|false|false||1658501209000
62dab810303adee4623e9c72||62.38|93.49|62.38|65.26|156,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1658501136000
62dab7ee303adee4623cb0bb||58.4|90.3|58.4|61.66|146,0,0,0|time|30|-1|1|30|0|1.14|false|false|english|none|normal|false|false|false||1658501102000
62dab7be303adee4623ac1eb||56.4|89.63|56.4|62.9|141,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1658501054000
62dab73c303adee4623abe3a||16|95.35|16|31.89|40,0,0,0|time|30|-1|0|30|5|0|false|false|english|none|normal|false|false|false||1658500924000
62dab703303adee4623abc62||58.4|90.24|58.4|64.75|146,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1658500867000
62dab6e0303adee4623abb61||57.6|88.89|57.6|64.36|144,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1658500832000
62dab6bb303adee4623aba31||14.4|88.1|14.4|24.54|36,0,0,0|time|30|-1|0|30|8|0|false|false|english|none|normal|false|false|false||1658500795000
